inf_ecg.csv,inf_gsr.csv,inf_ppg.csv,pixart.csv,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,out1,out2,out3,out4,out5,out6
0.0003662760416666672,4.552985807291666,35.080426562499994,-1236984.837398374,5.0,5.0,5.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.0005520833333333314,6.250915885416666,34.87681302083333,-1216721.2777235773,10.0,5.0,5.0,0.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0006475260416666673,7.870340364583334,35.11992682291667,-1190202.7775609756,50.0,5.0,5.0,5.0,50.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0007631510416666697,7.429160286458333,34.978028776041675,-1168592.6643902438,10.0,5.0,10.0,0.0,10.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
-2.2786458333331806e-05,7.908758072916667,35.135418880208334,-1110107.4455284553,45.0,5.0,15.0,5.0,35.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0008036458333333352,7.766575520833333,35.231883984375,-1085401.654308943,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.0013335937499999969,4.46939765625,35.308567447916666,-1281867.0104065042,5.0,5.0,5.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.0006100260416666657,5.978650911458334,35.386689713541664,-1226152.2312195122,10.0,5.0,5.0,0.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
0.00022695312500000328,7.371642838541667,35.33104088541666,-1162940.0933333333,50.0,5.0,5.0,5.0,50.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.00014075520833333014,7.092132031249999,35.1906484375,-1192267.710894309,10.0,5.0,10.0,0.0,10.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
7.552083333333461e-05,7.48200625,35.22400494791667,-1118310.9551219512,45.0,5.0,15.0,5.0,35.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.00015937499999999887,6.5346875,35.331743098958334,-1020534.3990243903,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.00031783854166666733,4.037511328125,35.498514583333325,-1232886.2546341463,5.0,5.0,5.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.0005145833333333316,5.361225,35.280614843749994,-1212223.397398374,10.0,5.0,5.0,0.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.0015493489583333297,7.223670703124999,35.253044921875,-1152545.6068292684,50.0,5.0,5.0,5.0,50.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.0006527343749999984,6.968797005208333,35.38316575520833,-1170002.8094308942,10.0,5.0,10.0,0.0,10.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
0.001594661458333335,7.380516796875,35.37016302083334,-1074004.3118699186,45.0,5.0,15.0,5.0,35.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0005322916666666677,6.1430286458333345,35.142676432291665,-1043879.7414634146,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0002821614583333333,3.5566955729166665,35.15370364583334,-1230995.9476422765,5.0,5.0,5.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0012132812500000013,5.420242838541666,35.31085846354167,-1192308.8419512196,10.0,5.0,5.0,0.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
